# gravestone model catalogue
# repository	file	quantisation	bytes	downloads
library/llama3.1	llama3.1:405b	Q4_K_M	243069610720	119100000
library/llama3.1	llama3.1:70b	Q4_K_M	42520398176	119100000
library/llama3.1	llama3.1:8b	Q4_K_M	4920738944	119100000
library/llama3.1	llama3.1:8b-instruct-q2_K	Q2_K	3179136128	119100000
library/llama3.1	llama3.1:8b-instruct-q3_K_L	Q3_K_L	4321961088	119100000
library/llama3.1	llama3.1:8b-instruct-q3_K_M	Q3_K_M	4018922624	119100000
library/llama3.1	llama3.1:8b-instruct-q3_K_S	Q3_K_S	3664503936	119100000
library/llama3.1	llama3.1:8b-instruct-q4_0	Q4_0	4661216384	119100000
library/llama3.1	llama3.1:8b-instruct-q4_1	Q4_1	5130257536	119100000
library/llama3.1	llama3.1:8b-instruct-q4_K_S	Q4_K_S	4692673664	119100000
library/llama3.1	llama3.1:8b-instruct-q5_0	Q5_0	5599298688	119100000
library/llama3.1	llama3.1:8b-instruct-q5_K_M	Q5_K_M	5732992128	119100000
library/llama3.1	llama3.1:8b-instruct-q5_K_S	Q5_K_S	5599298688	119100000
library/llama3.1	llama3.1:8b-text-q2_K	Q2_K	3179131424	119100000
library/llama3.1	llama3.1:8b-text-q3_K_L	Q3_K_L	4321956384	119100000
library/llama3.1	llama3.1:8b-text-q3_K_M	Q3_K_M	4018917920	119100000
library/llama3.1	llama3.1:8b-text-q3_K_S	Q3_K_S	3664499232	119100000
library/llama3.1	llama3.1:8b-text-q4_0	Q4_0	4661211680	119100000
library/llama3.1	llama3.1:8b-text-q4_1	Q4_1	5130252832	119100000
library/llama3.1	llama3.1:8b-text-q4_K_M	Q4_K_M	4920734240	119100000
library/llama3.1	llama3.1:8b-text-q4_K_S	Q4_K_S	4692668960	119100000
library/llama3.1	llama3.1:8b-text-q5_0	Q5_0	5599293984	119100000
library/llama3.1	llama3.1:8b-text-q5_K_M	Q5_K_M	5732987424	119100000
library/llama3.1	llama3.1:8b-text-q5_K_S	Q5_K_S	5599293984	119100000
library/deepseek-r1	deepseek-r1:1.5b	Q4_K_M	1117320512	92300000
library/deepseek-r1	deepseek-r1:1.5b-qwen-distill-fp16	F16	3560416064	92300000
library/deepseek-r1	deepseek-r1:1.5b-qwen-distill-q8_0	Q8_0	1894531904	92300000
library/deepseek-r1	deepseek-r1:14b	Q4_K_M	8988109952	92300000
library/deepseek-r1	deepseek-r1:14b-qwen-distill-fp16	F16	29547715712	92300000
library/deepseek-r1	deepseek-r1:14b-qwen-distill-q8_0	Q8_0	15701597312	92300000
library/deepseek-r1	deepseek-r1:32b	Q4_K_M	19851335552	92300000
library/deepseek-r1	deepseek-r1:32b-qwen-distill-fp16	F16	65535969152	92300000
library/deepseek-r1	deepseek-r1:32b-qwen-distill-q8_0	Q8_0	34820884352	92300000
library/deepseek-r1	deepseek-r1:671b	Q4_K_M	404430186848	92300000
library/deepseek-r1	deepseek-r1:671b-q4_K_M	Q4_K_M	404430186432	92300000
library/deepseek-r1	deepseek-r1:671b-q8_0	Q8_0	713286512576	92300000
library/deepseek-r1	deepseek-r1:70b	Q4_K_M	42520395616	92300000
library/deepseek-r1	deepseek-r1:70b-llama-distill-fp16	F16	141117914976	92300000
library/deepseek-r1	deepseek-r1:70b-llama-distill-q8_0	Q8_0	74975051616	92300000
library/deepseek-r1	deepseek-r1:7b	Q4_K_M	4683073184	92300000
library/deepseek-r1	deepseek-r1:7b-qwen-distill-fp16	F16	15237852832	92300000
library/deepseek-r1	deepseek-r1:7b-qwen-distill-q8_0	Q8_0	8098524832	92300000
library/deepseek-r1	deepseek-r1:8b	Q4_K_M	5225373760	92300000
library/deepseek-r1	deepseek-r1:8b-0528-qwen3-fp16	F16	16388042816	92300000
library/deepseek-r1	deepseek-r1:8b-0528-qwen3-q8_0	Q8_0	8851075136	92300000
library/deepseek-r1	deepseek-r1:8b-llama-distill-fp16	F16	16068893248	92300000
library/deepseek-r1	deepseek-r1:8b-llama-distill-q4_K_M	Q4_K_M	4920736320	92300000
library/deepseek-r1	deepseek-r1:8b-llama-distill-q8_0	Q8_0	8540772928	92300000
library/nomic-embed-text	nomic-embed-text:v1.5	F16	274290656	84300000
library/llama3.2	llama3.2:1b	Q8_0	1321082688	82100000
library/llama3.2	llama3.2:1b-instruct-q2_K	Q2_K	580874048	82100000
library/llama3.2	llama3.2:1b-instruct-q3_K_L	Q3_K_L	732524352	82100000
library/llama3.2	llama3.2:1b-instruct-q3_K_M	Q3_K_M	690843456	82100000
library/llama3.2	llama3.2:1b-instruct-q3_K_S	Q3_K_S	641691456	82100000
library/llama3.2	llama3.2:1b-instruct-q4_0	Q4_0	770928448	82100000
library/llama3.2	llama3.2:1b-instruct-q4_1	Q4_1	831745856	82100000
library/llama3.2	llama3.2:1b-instruct-q4_K_M	Q4_K_M	807694144	82100000
library/llama3.2	llama3.2:1b-instruct-q4_K_S	Q4_K_S	775647040	82100000
library/llama3.2	llama3.2:1b-instruct-q5_0	Q5_0	892563264	82100000
library/llama3.2	llama3.2:1b-instruct-q5_K_M	Q5_K_M	911503168	82100000
library/llama3.2	llama3.2:1b-instruct-q5_K_S	Q5_K_S	892563264	82100000
library/llama3.2	llama3.2:1b-text-q2_K	Q2_K	580870144	82100000
library/llama3.2	llama3.2:1b-text-q3_K_L	Q3_K_L	732520448	82100000
library/llama3.2	llama3.2:1b-text-q3_K_M	Q3_K_M	690839552	82100000
library/llama3.2	llama3.2:1b-text-q3_K_S	Q3_K_S	641687552	82100000
library/llama3.2	llama3.2:1b-text-q4_0	Q4_0	770924544	82100000
library/llama3.2	llama3.2:1b-text-q4_1	Q4_1	831741952	82100000
library/llama3.2	llama3.2:1b-text-q4_K_M	Q4_K_M	807690240	82100000
library/llama3.2	llama3.2:1b-text-q4_K_S	Q4_K_S	775643136	82100000
library/llama3.2	llama3.2:1b-text-q5_0	Q5_0	892559360	82100000
library/llama3.2	llama3.2:1b-text-q5_K_M	Q5_K_M	911499264	82100000
library/llama3.2	llama3.2:1b-text-q5_K_S	Q5_K_S	892559360	82100000
library/llama3.2	llama3.2:3b	Q4_K_M	2019377376	82100000
library/gemma3	gemma3:12b	Q4_K_M	8149180896	40000000
library/gemma3	gemma3:12b-it-fp16	F16	24392319456	40000000
library/gemma3	gemma3:12b-it-q8_0	Q8_0	13362610656	40000000
library/gemma3	gemma3:12b-it-qat	Q4_0	8928674496	40000000
library/gemma3	gemma3:1b	Q4_K_M	815310432	40000000
library/gemma3	gemma3:1b-it-fp16	F16	2015825760	40000000
library/gemma3	gemma3:1b-it-q8_0	Q8_0	1078558560	40000000
library/gemma3	gemma3:1b-it-qat	Q4_0	1003539136	40000000
library/gemma3	gemma3:270m	Q8_0	291545472	40000000
library/gemma3	gemma3:270m-it-bf16	BF16	542835072	40000000
library/gemma3	gemma3:270m-it-fp16	F16	542835072	40000000
library/gemma3	gemma3:270m-it-qat	Q4_0	241410464	40000000
library/gemma3	gemma3:27b	Q4_K_M	17396927584	40000000
library/gemma3	gemma3:27b-it-fp16	F16	54883474528	40000000
library/gemma3	gemma3:27b-it-q8_0	Q8_0	29563804768	40000000
library/gemma3	gemma3:27b-it-qat	Q4_0	18087370048	40000000
library/gemma3	gemma3:4b	Q4_K_M	3338792448	40000000
library/gemma3	gemma3:4b-it-fp16	F16	8617184768	40000000
library/gemma3	gemma3:4b-it-q8_0	Q8_0	4979936768	40000000
library/gemma3	gemma3:4b-it-qat	Q4_0	4006630016	40000000
library/qwen2.5	qwen2.5:0.5b	Q4_K_M	397807936	39100000
library/qwen2.5	qwen2.5:0.5b-base	Q4_K_M	397807520	39100000
library/qwen2.5	qwen2.5:0.5b-base-q2_K	Q2_K	338607008	39100000
library/qwen2.5	qwen2.5:0.5b-base-q3_K_L	Q3_K_L	369357728	39100000
library/qwen2.5	qwen2.5:0.5b-base-q3_K_M	Q3_K_M	355466144	39100000
library/qwen2.5	qwen2.5:0.5b-base-q3_K_S	Q3_K_S	338262944	39100000
library/qwen2.5	qwen2.5:0.5b-base-q4_0	Q4_0	352154528	39100000
library/qwen2.5	qwen2.5:0.5b-base-q4_1	Q4_1	374518688	39100000
library/qwen2.5	qwen2.5:0.5b-base-q4_K_S	Q4_K_S	385471392	39100000
library/qwen2.5	qwen2.5:0.5b-base-q5_0	Q5_0	396882848	39100000
library/qwen2.5	qwen2.5:0.5b-instruct-q2_K	Q2_K	338607424	39100000
